industry1_code,industry1_name,industry2_code,industry2_name,url,symbol,amount,chg,hasexist,high52w,last_close,percent,volume,current,high,low,name,market_capital,low52w,pe_ttm,open
A,农、林、牧、渔业,A02,林业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A02,SZ002200,19563176,-0.15,False,27.48,9.45,-1.59,2090800,9.3,9.46,9.27,云投生态,1712435877.0,7.89,0.0,9.46
A,农、林、牧、渔业,A03,畜牧业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A03,SZ002714,406200946,1.65,False,62.88,46.13,3.58,8612818,47.78,47.87,46.0,牧原股份,55351383975.46,22.21,23.3992,46.08
A,农、林、牧、渔业,A03,畜牧业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A03,SZ000735,822334711,0.26,False,10.3,8.76,2.97,90927247,9.02,9.61,8.65,罗牛山,10386652473.56,5.79,70.1476,8.77
A,农、林、牧、渔业,A03,畜牧业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A03,SZ002234,66937385,0.13,False,20.84,10.74,1.21,6178600,10.87,11.1,10.6,民和股份,3283246889.84,8.3,0.0,10.74
A,农、林、牧、渔业,A03,畜牧业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A03,SZ300313,22812824,0.1,False,20.97,9.22,1.08,2438100,9.32,9.49,9.22,天山生物,1839327993.48,7.88,247.0777,9.22
A,农、林、牧、渔业,A03,畜牧业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A03,SZ002505,65452602,0.02,False,3.75,2.53,0.79,25771009,2.55,2.57,2.51,大康农业,13987699110.0,2.22,196.3106,2.53
A,农、林、牧、渔业,A03,畜牧业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A03,SZ300106,12631036,0.01,False,17.25,6.59,0.15,1915250,6.6,6.65,6.55,西部牧业,1394793246.0,5.8,0.0,6.6
A,农、林、牧、渔业,A03,畜牧业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A03,SZ002321,0,0.0,False,14.39,8.46,0.0,0,8.46,8.46,8.46,华英农业,4520102706.0,8.46,73.7691,8.46
A,农、林、牧、渔业,A03,畜牧业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A03,SZ002477,52277778,-0.02,False,6.33,3.83,-0.52,13681068,3.81,3.84,3.81,雏鹰农牧,11944958190.3,3.53,18.4824,3.81
A,农、林、牧、渔业,A03,畜牧业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A03,SZ002299,46065175,-0.11,False,18.97,14.38,-0.76,3207057,14.27,14.55,14.24,圣农发展,17687386977.59,11.8,56.7838,14.39
A,农、林、牧、渔业,A03,畜牧业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A03,SH600965,10307784,-0.09,False,16.06,10.43,-0.86,993853,10.34,10.44,10.33,福成股份,8465367874.7,9.34,54.0016,10.39
A,农、林、牧、渔业,A03,畜牧业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A03,SZ002746,33585042,-0.27,False,50.68,20.26,-1.33,1677208,19.99,20.23,19.85,仙坛股份,3634985617.99,17.26,34.5411,20.15
A,农、林、牧、渔业,A03,畜牧业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A03,SH600975,17512288,-0.08,False,8.68,5.17,-1.55,3419125,5.09,5.18,5.08,新五丰,3322118722.56,4.86,76.1433,5.18
A,农、林、牧、渔业,A03,畜牧业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A03,SZ002458,112410328,-0.26,False,33.52,13.75,-1.89,8363890,13.49,13.74,13.18,益生股份,4551238676.49,10.4,0.0,13.54
A,农、林、牧、渔业,A04,渔业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A04,SZ002696,18801702,0.17,False,27.4,18.68,0.91,998834,18.85,19.07,18.53,百洋股份,4383297963.85,16.0,38.494,18.53
A,农、林、牧、渔业,A04,渔业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A04,SZ200992,890033,0.03,False,6.12,4.79,0.63,185684,4.82,4.82,4.74,中鲁B,1282463762.4,4.45,14.0574,4.78
A,农、林、牧、渔业,A04,渔业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A04,SZ002086,120064475,0.06,False,13.4,10.36,0.58,11560704,10.42,10.52,10.28,东方海洋,7165834000.0,9.13,53.3312,10.32
A,农、林、牧、渔业,A04,渔业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A04,SH600097,7732983,0.08,False,20.49,14.24,0.56,540402,14.32,14.4,14.19,开创国际,3450211524.88,12.88,17.9883,14.3
A,农、林、牧、渔业,A04,渔业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A04,SH600257,0,0.0,False,10.12,7.4,0.0,0,7.4,0.0,0.0,大湖股份,3561155191.2,5.91,508.3277,0.0
A,农、林、牧、渔业,A04,渔业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A04,SH600467,18470253,-0.01,False,4.33,2.88,-0.35,6414000,2.87,2.9,2.86,好当家,4193053652.48,2.6,86.8652,2.88
A,农、林、牧、渔业,A04,渔业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A04,SZ000798,8711559,-0.05,False,13.54,8.3,-0.6,1053152,8.25,8.35,8.23,中水渔业,2635503750.0,7.4,18.0837,8.3
A,农、林、牧、渔业,A04,渔业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A04,SZ002069,46005041,-0.03,False,12.17,4.33,-0.69,10621888,4.3,4.39,4.28,獐子岛,3057782434.2,3.9,0.0,4.36
A,农、林、牧、渔业,A04,渔业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A04,SZ300094,37384926,-0.06,False,9.62,7.56,-0.79,5001107,7.5,7.56,7.41,国联水产,5878842150.0,6.07,38.2818,7.56
A,农、林、牧、渔业,A04,渔业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A04,SZ002447,322982416,-0.28,False,8.68,5.98,-4.68,56204415,5.7,5.91,5.66,晨鑫科技,8135000100.0,5.05,22.1675,5.91
A,农、林、牧、渔业,A05,农、林、牧、渔服务业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A05,SZ000713,21849717,-0.08,False,11.07,6.75,-1.19,3268690,6.67,6.83,6.63,丰乐种业,1993502706.56,5.5,33.7813,6.77
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SH600714,22300866,0.16,False,15.94,8.04,1.99,2693640,8.2,8.39,8.04,金瑞矿业,2363045438.6,6.91,0.0,8.05
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SZ000571,47201165,0.09,False,8.44,4.86,1.85,9546385,4.95,5.04,4.85,新大洲A,4029616800.0,4.44,118.6815,4.86
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SH600397,36465708,0.04,False,5.5,2.94,1.36,12142900,2.98,3.08,2.91,安源煤业,2950080448.36,2.72,0.0,2.94
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SH600157,0,0.0,False,4.22,3.36,0.0,0,3.36,0.0,0.0,永泰能源,41750672295.36,3.24,67.4001,0.0
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SZ000939,0,0.0,False,6.3,4.99,0.0,0,4.99,5.0,4.77,凯迪生态,19608681515.06,4.6,57.7624,4.78
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SZ000780,34050927,-0.01,False,5.96,5.12,-0.2,6662457,5.11,5.15,5.05,*ST平能,5183105315.64,3.77,17.4426,5.1
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SZ000968,33540801,-0.12,False,18.59,13.94,-0.86,2417059,13.82,14.05,13.79,蓝焰控股,13370886761.2,10.6,25.4689,13.87
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SH601918,41736468,-0.03,False,5.93,3.43,-0.87,12154445,3.4,3.48,3.39,新集能源,8807842120.0,3.22,418.9542,3.41
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SH600403,3246872,-0.05,False,5.89,4.59,-1.09,709900,4.54,4.64,4.53,*ST大有,10854288305.08,4.06,0.0,4.58
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SH600508,41933374,-0.17,False,14.68,12.25,-1.39,3448764,12.08,12.26,12.04,上海能源,8730433440.0,10.3,11.2605,12.25
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SH600121,24201969,-0.09,False,7.46,5.57,-1.62,4385325,5.48,5.59,5.45,*ST郑煤,5564081640.2,4.42,44.0592,5.55
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SH600123,85275289,-0.14,False,10.68,8.61,-1.63,9980260,8.47,8.63,8.44,兰花科创,9676128000.0,6.79,30.5932,8.6
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SH601088,565894352,-0.4,False,29.43,23.93,-1.67,23848075,23.53,23.99,23.38,中国神华,468002769306.15,13.24,11.3997,23.9
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SH600652,77894916,-0.12,False,13.03,6.76,-1.78,11592453,6.64,6.84,6.6,游久游戏,5529151226.72,5.79,42.0196,6.83
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SH600381,171259292,-0.21,False,17.94,10.9,-1.93,15557574,10.69,11.48,10.64,青海春天,6742760056.89,9.12,19.4976,11.24
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SH900948,4975726,-0.029,False,1.631,1.433,-2.02,3502534,1.404,1.438,1.403,伊泰B股,4568625828.0,0.91,5.898,1.429
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SH600395,71983215,-0.14,False,9.15,6.82,-2.05,10699772,6.68,6.79,6.66,盘江股份,11055746431.48,6.3,14.4811,6.77
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SH601898,60444665,-0.13,False,6.95,5.76,-2.26,10626340,5.63,5.75,5.63,中煤能源,74646274942.0,5.12,20.9369,5.72
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SH601225,420920611,-0.2,False,10.83,8.57,-2.33,49617047,8.37,8.59,8.32,陕西煤业,83700000000.0,5.3,8.5435,8.52
B,采矿业,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SZ000983,263065502,-0.22,False,12.62,9.33,-2.36,28587086,9.11,9.32,9.1,西山煤电,28707432000.0,6.94,17.8905,9.26
