industry1_code,industry1_name,industry2_code,industry2_name,url,symbol,amount,chg,hasexist,high52w,last_close,percent,volume,current,high,low,name,market_capital,low52w,pe_ttm,open
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600371,42135308,0.42,False,16.88,9.2,4.57,4384704,9.62,9.76,9.25,万向德农,2165077200.0,8.0,0.0,9.25
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SZ002041,44302568,0.19,False,17.9,11.46,1.66,3828856,11.65,11.75,11.37,登海种业,10252000000.0,10.26,60.8363,11.46
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600354,165323474,0.06,False,10.29,7.37,0.81,22522629,7.43,7.51,7.21,敦煌种业,3921569454.4,5.66,0.0,7.34
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH601118,131216269,0.03,False,7.54,5.89,0.51,22096938,5.92,6.02,5.84,海南橡胶,25334212558.24,4.8,0.0,5.84
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600359,59284910,0.0,False,11.0,6.74,0.0,8860762,6.74,6.78,6.6,新农开发,2571396406.8,5.4,0.0,6.68
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SZ000998,0,0.0,False,28.57,24.18,0.0,0,24.18,24.55,23.58,隆平高科,30374787217.32,18.89,0.0,23.86
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SZ300087,16526391,-0.05,False,12.94,10.35,-0.48,1605330,10.3,10.44,10.19,荃银高科,4350525855.3,8.55,69.6509,10.34
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600506,32823236,-0.11,False,25.8,15.24,-0.72,2184161,15.13,15.23,14.9,香梨股份,2234804988.49,12.62,0.0,15.18
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600108,36716574,-0.04,False,5.57,3.83,-1.04,9691441,3.79,3.82,3.77,亚盛集团,7378808308.59,3.48,0.0,3.81
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SZ300189,19891602,-0.05,False,5.19,3.55,-1.41,5670235,3.5,3.55,3.48,神农基因,3584000000.0,3.03,284.569,3.54
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600598,181703574,-0.17,False,13.26,10.95,-1.55,16813012,10.78,10.93,10.7,北大荒,19163389419.02,9.8,0.0,10.88
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600540,9965343,-0.07,False,10.35,4.26,-1.64,2375705,4.19,4.25,4.17,*ST新赛,1973168681.47,3.53,0.0,4.21
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SZ300143,70047403,-0.39,False,32.6,23.04,-1.69,3140742,22.65,22.68,22.0,星普医科,6531968222.7,22.0,43.0283,22.23
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600313,130727963,-0.08,False,6.23,3.77,-2.12,35424700,3.69,3.77,3.64,农发种业,3993313066.47,2.6,0.0,3.73
A,农、林、牧、渔业,A02,林业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A02,SZ002200,44482778,0.45,False,27.48,8.94,5.03,4775301,9.39,9.55,8.95,云投生态,1729007837.1,7.89,0.0,9.0
A,农、林、牧、渔业,A02,林业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A02,SZ000663,0,0.0,False,22.56,14.66,0.0,0,14.66,14.66,14.66,永安林业,4998894371.32,11.41,0.0,14.66
