industry1_code,industry1_name,industry2_code,industry2_name,url,symbol,amount,chg,hasexist,high52w,last_close,percent,volume,current,high,low,name,market_capital,low52w,pe_ttm,open
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SZ300087,30453653.77,0.26,False,12.94,10.13,2.57,2965374,10.39,10.5,10.03,荃银高科,4388540158.89,8.55,372.1356,10.13
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600540,13541428.0,0.09,False,10.35,4.17,2.16,3194376,4.26,4.28,4.14,*ST新赛,2006133313.38,3.53,0.0,4.15
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH601118,226121874.0,0.12,False,7.54,5.84,2.05,37818691,5.96,6.08,5.74,海南橡胶,25505389670.12,4.8,72.3244,5.78
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SZ300189,30482827.0,0.07,False,5.22,3.56,1.97,8425965,3.63,3.66,3.55,神农基因,3717120000.0,3.03,127.3923,3.57
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600359,55958494.0,0.06,False,11.0,6.61,0.91,8406759,6.67,6.74,6.5,新农开发,2544690509.4,5.4,0.0,6.51
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600354,134918459.0,0.06,False,10.29,7.23,0.83,18637186,7.29,7.32,7.1,敦煌种业,3847677163.2,5.66,82.8048,7.15
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600313,144811835.0,0.03,False,6.25,3.63,0.83,39589722,3.66,3.73,3.55,农发种业,3960847106.58,2.6,88.522,3.56
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600598,175172752.0,0.08,False,13.26,10.66,0.75,16325895,10.74,10.85,10.53,北大荒,19092282222.66,9.8,27.2877,10.61
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600371,13732081.0,0.05,False,16.88,9.09,0.55,1502105,9.14,9.25,9.04,万向德农,2057048400.0,8.0,35.4545,9.05
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600108,35263578.0,0.02,False,5.57,3.78,0.53,9325058,3.8,3.8,3.75,亚盛集团,7398277459.8,3.48,89.2183,3.75
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SZ300143,0.0,0.0,False,32.6,25.6,0.0,0,25.6,25.85,25.0,星普医科,7382710220.8,22.22,49.1973,25.76
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SZ000998,0.0,0.0,False,28.57,24.18,0.0,0,24.18,24.55,23.58,隆平高科,30374787217.32,18.89,54.1021,23.86
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SZ002041,28940712.48,0.0,False,17.9,11.36,0.0,2556817,11.36,11.41,11.18,登海种业,9996800000.0,10.26,31.4453,11.3
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600506,31392997.0,-0.06,False,25.8,15.0,-0.4,2102888,14.94,15.15,14.7,香梨股份,2206740682.62,12.62,0.0,14.86
A,农、林、牧、渔业,A02,林业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A02,SZ002200,23343457.98,0.21,False,27.48,8.82,2.38,2609107,9.03,9.06,8.82,云投生态,1662719996.7,7.89,49.7289,8.84
A,农、林、牧、渔业,A02,林业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A02,SH600265,1823331.0,0.39,False,37.19,17.68,2.21,101800,18.07,18.13,17.5,ST景谷,2345486000.0,13.92,69.5794,17.5
A,农、林、牧、渔业,A02,林业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A02,SZ002679,17038430.22,0.24,False,37.62,20.22,1.19,838311,20.46,20.55,19.92,福建金森,2837392800.0,18.5,110.1887,20.1
A,农、林、牧、渔业,A02,林业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A02,SZ000663,0.0,0.0,False,22.56,14.66,0.0,0,14.66,14.66,14.66,永安林业,4998894371.32,11.41,34.8467,14.66
