type_x,industry1_code,industry1_name,type_y,industry2_code,industry2_name,url,symbol,amount,chg,hasexist,high52w,last_close,percent,volume,current,high,low,name,market_capital,low52w,pe_ttm,open
CSRC,B,采矿业,CSRC,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SZ000968,73371827.43,0.16,False,18.59,13.78,1.16,5305269,13.94,14.11,13.56,蓝焰控股,13486987080.4,10.6,25.69,13.78
CSRC,B,采矿业,CSRC,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SH600714,9187332.0,0.08,False,15.94,7.96,1.01,1148866,8.04,8.08,7.92,金瑞矿业,2316937234.92,6.91,,7.98
CSRC,B,采矿业,CSRC,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SZ000571,21466537.07,0.04,False,8.44,4.82,0.83,4434329,4.86,4.87,4.8,新大洲A,3956351040.0,4.44,116.524,4.84
CSRC,B,采矿业,CSRC,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SH600403,4550872.0,0.03,False,5.89,4.56,0.66,1000300,4.59,4.59,4.51,*ST大有,10973828925.18,4.06,,4.56
CSRC,B,采矿业,CSRC,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SZ000780,34683393.38,0.03,False,5.96,5.09,0.59,6809546,5.12,5.14,5.02,*ST平能,5193248378.88,3.77,17.477,5.09
CSRC,B,采矿业,CSRC,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SH600157,0.0,0.0,False,4.22,3.36,0.0,0,3.36,0.0,0.0,永泰能源,41750672295.36,3.24,67.4,0.0
CSRC,B,采矿业,CSRC,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SZ000939,0.0,0.0,False,6.3,4.99,0.0,0,4.99,5.0,4.77,凯迪生态,19608681515.06,4.6,57.762,4.78
CSRC,B,采矿业,CSRC,B06,煤炭开采和洗选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B06,SH600397,25219885.0,-0.02,False,5.5,2.96,-0.68,8667104,2.94,2.94,2.88,安源煤业,2910482053.08,2.72,,2.94
CSRC,B,采矿业,CSRC,B07,石油和天然气开采业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B07,SZ300191,68369973.7,0.4,False,32.19,19.21,2.08,3509805,19.61,19.77,19.3,潜能恒信,6275200000.0,18.02,667.123,19.34
CSRC,B,采矿业,CSRC,B07,石油和天然气开采业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B07,SZ300164,24101845.3,0.13,False,10.05,6.35,2.05,3713114,6.48,6.57,6.38,通源石油,2911218790.32,5.31,68.985,6.39
CSRC,B,采矿业,CSRC,B07,石油和天然气开采业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B07,SH601808,80349015.0,0.21,False,14.15,10.78,1.95,7373393,10.99,11.0,10.78,中海油服,52439796080.0,10.02,,10.91
CSRC,B,采矿业,CSRC,B07,石油和天然气开采业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B07,SH600028,1021363965.0,0.08,False,7.72,6.39,1.25,158587965,6.47,6.49,6.38,中国石化,783330726409.62,5.17,14.083,6.45
CSRC,B,采矿业,CSRC,B07,石油和天然气开采业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B07,SH601857,307284715.0,0.1,False,9.58,8.01,1.25,38147199,8.11,8.12,8.0,中国石油,1484300130103.98,7.28,63.06,8.04
CSRC,B,采矿业,CSRC,B07,石油和天然气开采业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B07,SH600583,90126497.0,0.07,False,8.03,6.4,1.09,14008258,6.47,6.47,6.37,海油工程,28606165556.0,5.8,57.261,6.46
CSRC,B,采矿业,CSRC,B07,石油和天然气开采业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B07,SH600759,42497763.0,0.03,False,8.44,3.53,0.85,12046580,3.56,3.56,3.49,洲际油气,8058086764.08,3.16,,3.54
CSRC,B,采矿业,CSRC,B07,石油和天然气开采业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B07,SZ300157,96821853.79,0.04,False,14.55,6.32,0.63,15299999,6.36,6.38,6.21,恒泰艾普,4533230428.8,5.52,,6.33
CSRC,B,采矿业,CSRC,B07,石油和天然气开采业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B07,SH600256,73624841.0,0.02,False,5.77,4.46,0.45,16467784,4.48,4.51,4.44,广汇能源,23391982584.32,3.95,80.908,4.46
CSRC,B,采矿业,CSRC,B08,黑色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B08,SZ000655,43134624.66,0.15,False,10.4,5.27,2.85,8021418,5.42,5.5,5.24,金岭矿业,3226744046.6,4.8,,5.26
CSRC,B,采矿业,CSRC,B08,黑色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B08,SZ000762,143718791.24,0.25,False,25.3,13.88,1.8,10248355,14.13,14.16,13.84,西藏矿业,7359175861.2,12.04,574.233,13.88
CSRC,B,采矿业,CSRC,B08,黑色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B08,SH601969,56250562.0,0.07,False,14.07,7.43,0.94,7544094,7.5,7.66,7.3,海南矿业,14660402355.0,6.6,,7.38
CSRC,B,采矿业,CSRC,B08,黑色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B08,SH600532,34426729.0,0.07,False,15.24,8.93,0.78,3884683,9.0,9.07,8.74,宏达矿业,4644591480.0,8.17,33.676,8.92
CSRC,B,采矿业,CSRC,B08,黑色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B08,SZ000409,21484314.23,0.04,False,13.5,5.57,0.72,3846875,5.61,5.63,5.54,山东地矿,2866323796.38,4.99,,5.6
CSRC,B,采矿业,CSRC,B08,黑色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B08,SH600193,26354495.0,0.02,False,10.97,4.72,0.42,5607878,4.74,4.78,4.63,创兴资源,2016268020.0,4.11,,4.69
CSRC,B,采矿业,CSRC,B08,黑色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B08,SH600882,1974878.0,0.01,False,11.52,8.76,0.11,225818,8.77,8.78,8.69,广泽股份,3600944854.65,8.21,,8.76
CSRC,B,采矿业,CSRC,B08,黑色金属矿采选业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=B08,SZ000629,0.0,0.0,False,3.27,3.07,0.0,0,3.07,3.16,3.03,*ST钒钛,26370520840.14,2.44,,3.05
