industry1_code,industry1_name,industry2_code,industry2_name,url,symbol,amount,chg,hasexist,high52w,last_close,percent,volume,current,high,low,name,market_capital,low52w,pe_ttm,open
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600313,243085712,0.11,False,6.25,3.66,3.01,64480700,3.77,3.89,3.6,农发种业,4079888959.51,2.6,91.1825,3.66
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600506,56542345,0.3,False,25.8,14.94,2.01,3750400,15.24,15.3,14.5,香梨股份,2251052744.52,12.62,0.0,14.5
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600598,291047269,0.21,False,13.26,10.74,1.96,26820779,10.95,11.0,10.6,北大荒,19465595003.55,9.8,27.8212,10.66
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600354,240655639,0.08,False,10.29,7.29,1.1,32526573,7.37,7.6,7.12,敦煌种业,3889901329.6,5.66,83.7135,7.16
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600359,91943072,0.07,False,11.0,6.67,1.05,13620180,6.74,6.94,6.53,新农开发,2571396406.8,5.4,0.0,6.58
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SZ002041,40996090,0.1,False,17.9,11.36,0.88,3576062,11.46,11.64,11.26,登海种业,10084800000.0,10.26,31.7221,11.33
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600108,62037472,0.03,False,5.57,3.8,0.79,16323590,3.83,3.85,3.76,亚盛集团,7456684913.43,3.48,89.9227,3.76
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600371,18088841,0.06,False,16.88,9.14,0.66,1971043,9.2,9.38,8.98,万向德农,2070552000.0,8.0,35.6872,9.08
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SZ000998,0,0.0,False,28.57,24.18,0.0,0,24.18,24.55,23.58,隆平高科,30374787217.32,18.89,54.1021,23.86
A,农、林、牧、渔业,A01,农业,https://xueqiu.com/industry/quote_order.json?page=1&size=10000&order=desc&exchange=CN&orderBy=percent&level2code=A01,SH600540,10353932,0.0,False,10.35,4.26,0.0,2426783,4.26,4.32,4.21,*ST新赛,2006133313.38,3.53,0.0,4.21
